[1] ADD,kHMjwfSx2P,63511.53 
[4947] QUOTE,yAAurFarHT,MOE 
[4948] QUOTE,kHMjwfSx2P,VQZ 
[4949] CANCEL_SET_SELL,mMQlpMeOfD,SUN 
[4950] QUOTE,qEVRIEnox8,LPF 
[4951] COMMIT_BUY,YET2WF8iGL 
[4952] QUOTE,CvCH8jPh2i,ZJI 
[4953] CANCEL_SET_SELL,CxzX2w8DmS,RDD 
[4954] SET_SELL_TRIGGER,TMxB3eAn63,DKJ,152.91 
[4955] CANCEL_SELL,YET2WF8iGL 
[4956] BUY,YET2WF8iGL,GGR,602.22 
[4957] SELL,bfIjLoap9T,RPN,611.63 
[4958] BUY,yAAurFarHT,CNC,678.10 
[4959] CANCEL_SELL,ItaC6MIk2c 
[4960] COMMIT_BUY,yAAurFarHT 
[4961] COMMIT_BUY,YET2WF8iGL 
[4962] COMMIT_BUY,IkWXoni8ti 
[4963] SET_BUY_TRIGGER,Kt8I7sdBcS,UUG,206.77 
[4964] COMMIT_SELL,mMQlpMeOfD 
[4965] COMMIT_SELL,CvCH8jPh2i 
[4966] ADD,QPKBykFnxr,82845.27 
[4967] COMMIT_BUY,tK1JNuy0li 
[4968] BUY,13VC8b11Q6,HMX,691.25 
[4969] CANCEL_BUY,CvCH8jPh2i 
[4970] COMMIT_BUY,CvCH8jPh2i 
[4971] BUY,r9sY6ykQwB,MAP,322.31 
[4972] BUY,tK1JNuy0li,KUZ,98.94 
[4973] CANCEL_SELL,Kt8I7sdBcS 
[4974] ADD,Kt8I7sdBcS,74027.55 
[4975] SET_SELL_TRIGGER,qEVRIEnox8,WXZ,93.34 
[4976] COMMIT_SELL,BxWlges22v 
[4977] CANCEL_SET_SELL,Js6LySzcEQ,BMJ 
[4978] SET_BUY_TRIGGER,wMcCWGxtZb,ZJI,285.31 
[4979] ADD,wMcCWGxtZb,79374.63 
[4980] CANCEL_BUY,RtgbNlNQ82 
[4981] COMMIT_SELL,E9DHfAjHfd 
[4982] QUOTE,pTZZjie7eX,HZQ 
[4983] BUY,wMcCWGxtZb,PXD,673.21 
[4984] DISPLAY_SUMMARY,Js6LySzcEQ 
[4985] CANCEL_SET_SELL,LHA4yFlv3r,YRS 
[4986] CANCEL_SELL,mMQlpMeOfD 
[4987] CANCEL_BUY,izXvHOmJ6Y 
[4988] COMMIT_SELL,ItaC6MIk2c 
[4989] SET_BUY_AMOUNT,CxzX2w8DmS,XYR,433.61 
[4990] DISPLAY_SUMMARY,ItaC6MIk2c 
[4991] SET_SELL_AMOUNT,YIgPFTE1M7,LNW,341.62 
[4992] COMMIT_SELL,NmALn2RmzI 
[4993] COMMIT_SELL,L3qfH51ukK 
[4994] BUY,zVGmOyE2TY,TFP,478.57 
[4995] DISPLAY_SUMMARY,TMxB3eAn63 
[4996] SET_SELL_TRIGGER,YIgPFTE1M7,LNW,127.07 
[4997] CANCEL_SET_SELL,JPE6oMVt1b,NQP 
[4998] COMMIT_BUY,YET2WF8iGL 
[4999] BUY,Z14JubX5Uv,DKJ,90.69 
[5000] DISPLAY_SUMMARY,jK70t6xffU 
[5001] COMMIT_BUY,r9sY6ykQwB 
[5002] SELL,YET2WF8iGL,JBQ,332.32 
[5003] ADD,izXvHOmJ6Y,54289.93 
[5004] DISPLAY_SUMMARY,ItaC6MIk2c 
[5005] SET_SELL_TRIGGER,YIgPFTE1M7,WXZ,191.28 
[5006] CANCEL_SET_BUY,mMQlpMeOfD,SFY 
[5007] DISPLAY_SUMMARY,mZFoN64osd 
[5008] SET_BUY_TRIGGER,CxzX2w8DmS,WBS,197.26 
[5009] SET_SELL_TRIGGER,BDty3gMxBy,XYR,106.48 
[5010] BUY,La1eSbNL6p,RNJ,526.21 
[5011] BUY,pz8HIUVPXH,JXE,370.57 
[5012] SELL,Js6LySzcEQ,XYR,556.67 
[5013] COMMIT_BUY,uspV5YXJSf 
[5014] SELL,CxzX2w8DmS,XTF,142.65 
[5015] DISPLAY_SUMMARY,uspV5YXJSf 
[5016] CANCEL_SELL,kHMjwfSx2P 
[5017] ADD,7nGIkyoUrD,93035.06 
[5018] QUOTE,7nGIkyoUrD,BXC 
[5019] CANCEL_SET_SELL,LHA4yFlv3r,YNA 
[5020] COMMIT_SELL,YET2WF8iGL 
[5021] COMMIT_BUY,tK1JNuy0li 
[5022] BUY,e6Ql5cbsux,TYW,197.83 
[5023] QUOTE,RtgbNlNQ82,COI 
[5024] SET_BUY_AMOUNT,La1eSbNL6p,RPN,492.39 
[5025] ADD,pTZZjie7eX,76516.39 
[5026] COMMIT_BUY,zVGmOyE2TY 
[5027] SET_BUY_TRIGGER,La1eSbNL6p,TNV,324.43 
[5028] CANCEL_SELL,LHA4yFlv3r 
[5029] BUY,jK70t6xffU,SLF,591.57 
[5030] BUY,uspV5YXJSf,COI,464.30 
[5031] QUOTE,NmALn2RmzI,DUW 
[5032] SELL,R4lbhHC1hS,XYR,54.18 
[5033] QUOTE,pTZZjie7eX,RYI 
[5034] COMMIT_SELL,mMQlpMeOfD 
[5035] BUY,Kt8I7sdBcS,HMX,678.37 
[5036] COMMIT_BUY,13VC8b11Q6 
[5037] SET_BUY_TRIGGER,YIgPFTE1M7,HIZ,139.60 
[5038] COMMIT_BUY,e6Ql5cbsux 
[5039] COMMIT_BUY,jK70t6xffU 
[5040] COMMIT_SELL,E9DHfAjHfd 
[5041] QUOTE,qoExOgAPyd,HZQ 
[5042] QUOTE,7nGIkyoUrD,VVL 
[5043] COMMIT_BUY,YET2WF8iGL 
[5044] ADD,LHA4yFlv3r,41242.96 
[5045] QUOTE,7nGIkyoUrD,HZQ 
[5046] DISPLAY_SUMMARY,L3qfH51ukK 
[5047] SET_SELL_AMOUNT,La1eSbNL6p,XYR,109.00 
[5048] DISPLAY_SUMMARY,YIgPFTE1M7 
[5049] SET_SELL_TRIGGER,izXvHOmJ6Y,TNV,125.90 
[5050] DISPLAY_SUMMARY,kHMjwfSx2P 
[5051] COMMIT_SELL,yAAurFarHT 
[5052] SELL,kHMjwfSx2P,TWQ,326.20 
[5053] BUY,BDty3gMxBy,RPF,614.71 
[5054] CANCEL_SET_BUY,qkUYmnHXvb,ZFP 
[5055] CANCEL_SET_BUY,BxWlges22v,WBS 
[5056] SET_SELL_TRIGGER,izXvHOmJ6Y,XYR,140.14 
[5057] QUOTE,QPKBykFnxr,CHG 
[5058] DISPLAY_SUMMARY,tK1JNuy0li 
[5059] BUY,ItaC6MIk2c,WXO,461.25 
[5060] SET_BUY_AMOUNT,yAAurFarHT,RPN,140.90 
[5061] COMMIT_SELL,bfIjLoap9T 
[5062] SET_SELL_TRIGGER,tK1JNuy0li,TWQ,108.56 
[5063] COMMIT_SELL,kHMjwfSx2P 
[5064] CANCEL_BUY,izXvHOmJ6Y 
[5065] SET_SELL_AMOUNT,CvCH8jPh2i,XYR,105.12 
[5066] COMMIT_BUY,tK1JNuy0li 
[5067] COMMIT_BUY,Kt8I7sdBcS 
[5068] COMMIT_SELL,E9DHfAjHfd 
[5069] SET_SELL_TRIGGER,bfIjLoap9T,MOE,75.86 
[5070] COMMIT_BUY,pz8HIUVPXH 
[5071] CANCEL_SET_SELL,TMxB3eAn63,KME 
[5072] SELL,YET2WF8iGL,XTF,692.09 
[5073] BUY,Kt8I7sdBcS,CXT,38.45 
[5074] SELL,E9DHfAjHfd,WXZ,112.88 
[5075] SET_SELL_TRIGGER,CvCH8jPh2i,XYR,2.42 
[5076] ADD,h0Ib8LzTs9,77049.09 
[5077] BUY,pz8HIUVPXH,DUW,188.11 
[5078] ADD,RtgbNlNQ82,89115.27 
[5079] SET_SELL_TRIGGER,7nGIkyoUrD,CNC,134.51 
[5080] QUOTE,r9sY6ykQwB,CHG 
[5081] COMMIT_BUY,YIgPFTE1M7 
[5082] QUOTE,h0Ib8LzTs9,LNW 
[5083] QUOTE,PDwyOp2gzv,TNV 
[5084] ADD,izXvHOmJ6Y,79578.14 
[5085] ADD,r9sY6ykQwB,90711.74 
[5086] CANCEL_SET_SELL,E5CusuUGY3,HMX 
[5087] SET_BUY_AMOUNT,E5CusuUGY3,XYR,345.44 
[5088] SET_SELL_AMOUNT,PDwyOp2gzv,XYR,568.31 
[5089] QUOTE,7nGIkyoUrD,BXC 
[5090] COMMIT_SELL,Js6LySzcEQ 
[5091] DISPLAY_SUMMARY,BxWlges22v 
[5092] COMMIT_SELL,whcYxtH67L 
[5093] SELL,tK1JNuy0li,TWQ,412.23 
[5094] QUOTE,mMQlpMeOfD,MFG 
[5095] ADD,bfIjLoap9T,89797.64 
[5096] QUOTE,NmALn2RmzI,BXC 
[5097] DISPLAY_SUMMARY,L3qfH51ukK 
[5098] BUY,pTZZjie7eX,BFA,330.23 
[5099] COMMIT_BUY,pTZZjie7eX 
[5100] BUY,QPKBykFnxr,OTW,22.16 
[5101] CANCEL_BUY,13VC8b11Q6 
[5102] SET_BUY_TRIGGER,wMcCWGxtZb,SBK,66.82 
[5103] CANCEL_SET_BUY,Kt8I7sdBcS,NOE 
[5104] COMMIT_BUY,ItaC6MIk2c 
[5105] CANCEL_SET_SELL,mZFoN64osd,QTG 
[5106] SET_BUY_AMOUNT,mZFoN64osd,XTF,407.49 
[5107] SET_BUY_AMOUNT,uspV5YXJSf,RPN,619.45 
[5108] COMMIT_BUY,zVGmOyE2TY 
[5109] COMMIT_BUY,BDty3gMxBy 
[5110] CANCEL_SET_BUY,TMxB3eAn63,VVL 
[5111] CANCEL_BUY,tK1JNuy0li 
[5112] SET_BUY_TRIGGER,E5CusuUGY3,UED,38.34 
[5113] SELL,YIgPFTE1M7,JBQ,486.14 
[5114] SET_BUY_TRIGGER,QPKBykFnxr,MFG,100.30 
[5115] CANCEL_SELL,R4lbhHC1hS 
[5116] COMMIT_SELL,tK1JNuy0li 
[5117] QUOTE,BxWlges22v,MAP 
[5118] COMMIT_BUY,YIgPFTE1M7 
[5119] SET_BUY_TRIGGER,jK70t6xffU,IFV,63.72 
[5120] SET_SELL_TRIGGER,E5CusuUGY3,ZRU,40.83 
[5121] COMMIT_SELL,CxzX2w8DmS 
[5122] CANCEL_SET_SELL,L3qfH51ukK,QDU 
[5123] DISPLAY_SUMMARY,kHMjwfSx2P 
[5124] CANCEL_BUY,L3qfH51ukK 
[5125] BUY,izXvHOmJ6Y,PZV,505.42 
[5126] ADD,e6Ql5cbsux,56358.56 
[5127] COMMIT_SELL,E5CusuUGY3 
[5128] CANCEL_SET_SELL,CvCH8jPh2i,VVL 
[5129] QUOTE,PDwyOp2gzv,GGR 
[5130] SET_BUY_AMOUNT,Z14JubX5Uv,XTF,454.46 
[5131] CANCEL_SELL,R4lbhHC1hS 
[5132] CANCEL_SET_SELL,ItaC6MIk2c,UPQ 
[5133] SELL,Kt8I7sdBcS,KUZ,558.40 
[5134] SET_SELL_TRIGGER,La1eSbNL6p,XYR,17.30 
[5135] CANCEL_BUY,IkWXoni8ti 
[5136] QUOTE,zVGmOyE2TY,HIZ 
[5137] SET_SELL_TRIGGER,13VC8b11Q6,UDM,14.32 
[5138] COMMIT_SELL,YET2WF8iGL 
[5139] BUY,zVGmOyE2TY,STS,472.31 
[5140] BUY,Js6LySzcEQ,KUZ,400.55 
[5141] QUOTE,R4lbhHC1hS,GWE 
[5142] SET_SELL_AMOUNT,kHMjwfSx2P,WXZ,78.56 
[5143] BUY,h0Ib8LzTs9,VVL,694.27 
[5144] QUOTE,e6Ql5cbsux,IFV 
[5145] QUOTE,LHA4yFlv3r,VQZ 
[5146] BUY,wMcCWGxtZb,ODH,729.64 
[5147] BUY,mMQlpMeOfD,KME,414.02 
[5148] QUOTE,QPKBykFnxr,ZFP 
[5149] COMMIT_BUY,mMQlpMeOfD 
[5150] BUY,BxWlges22v,ZRU,101.42 
[5151] CANCEL_SET_BUY,qEVRIEnox8,LPF 
[5152] COMMIT_BUY,pz8HIUVPXH 
[5153] SET_SELL_TRIGGER,kHMjwfSx2P,WXZ,17.91 
[5154] ADD,pz8HIUVPXH,35415.92 
[5155] COMMIT_SELL,PDwyOp2gzv 
[5156] COMMIT_SELL,mMQlpMeOfD 
[5157] COMMIT_SELL,qEVRIEnox8 
[5158] CANCEL_SELL,JPE6oMVt1b 
[5159] COMMIT_BUY,h0Ib8LzTs9 
[5160] ADD,13VC8b11Q6,96830.95 
[5161] COMMIT_BUY,izXvHOmJ6Y 
[5162] CANCEL_SET_BUY,qkUYmnHXvb,BFA 
[5163] SET_BUY_AMOUNT,mMQlpMeOfD,XTF,321.72 
[5164] CANCEL_BUY,h0Ib8LzTs9 
[5165] QUOTE,RtgbNlNQ82,MFG 
[5166] SET_BUY_TRIGGER,mZFoN64osd,GGR,124.02 
[5167] SET_SELL_AMOUNT,QPKBykFnxr,RPN,33.40 
[5168] BUY,E5CusuUGY3,XTF,112.12 
[5169] QUOTE,YIgPFTE1M7,HGW 
[5170] COMMIT_BUY,zVGmOyE2TY 
[5171] COMMIT_BUY,YET2WF8iGL 
[5172] BUY,CxzX2w8DmS,ABQ,469.65 
[5173] ADD,zVGmOyE2TY,75861.97 
[5174] QUOTE,r9sY6ykQwB,TNV 
[5175] COMMIT_BUY,CxzX2w8DmS 
[5176] QUOTE,RtgbNlNQ82,JLX 
[5177] BUY,PDwyOp2gzv,VQZ,538.28 
[5178] CANCEL_SET_SELL,h0Ib8LzTs9,RYI 
[5179] BUY,IkWXoni8ti,CRJ,468.96 
[5180] COMMIT_BUY,PDwyOp2gzv 
[5181] SELL,qkUYmnHXvb,XTF,376.34 
[5182] SELL,h0Ib8LzTs9,BMJ,190.08 
[5183] COMMIT_SELL,h0Ib8LzTs9 
[5184] QUOTE,bfIjLoap9T,JNP 
[5185] COMMIT_BUY,BxWlges22v 
[5186] COMMIT_SELL,CxzX2w8DmS 
[5187] COMMIT_SELL,13VC8b11Q6 
[5188] SET_BUY_TRIGGER,yAAurFarHT,CXT,5.31 
[5189] QUOTE,Js6LySzcEQ,KUZ 
[5190] SET_BUY_TRIGGER,uspV5YXJSf,TWQ,539.05 
[5191] CANCEL_SELL,CvCH8jPh2i 
[5192] QUOTE,pz8HIUVPXH,DKJ 
[5193] SET_BUY_TRIGGER,mMQlpMeOfD,SWC,30.89 
[5194] BUY,L3qfH51ukK,NAI,434.24 
[5195] QUOTE,PDwyOp2gzv,DUW 
[5196] ADD,qoExOgAPyd,70304.86 
[5197] QUOTE,LHA4yFlv3r,HZQ 
[5198] COMMIT_BUY,E5CusuUGY3 
[5199] CANCEL_BUY,izXvHOmJ6Y 
[5200] SELL,zVGmOyE2TY,TWQ,24.18 
[5201] SET_SELL_TRIGGER,LHA4yFlv3r,BXC,89.58 
[5202] CANCEL_SET_SELL,JPE6oMVt1b,NAI 
[5203] CANCEL_BUY,R4lbhHC1hS 
[5204] SELL,mMQlpMeOfD,XTF,699.69 
[5205] COMMIT_BUY,7nGIkyoUrD 
[5206] CANCEL_BUY,izXvHOmJ6Y 
[5207] CANCEL_BUY,h0Ib8LzTs9 
[5208] SET_BUY_AMOUNT,7nGIkyoUrD,XYR,216.78 
[5209] BUY,qEVRIEnox8,SLC,700.45 
[5210] DISPLAY_SUMMARY,r9sY6ykQwB 
[5211] QUOTE,pz8HIUVPXH,AAL 
[5212] CANCEL_SET_BUY,TMxB3eAn63,BFA 
[5213] CANCEL_SELL,BxWlges22v 
[5214] CANCEL_SET_SELL,E5CusuUGY3,NPD 
[5215] CANCEL_SELL,YET2WF8iGL 
[5216] QUOTE,YET2WF8iGL,WBS 
[5217] ADD,PDwyOp2gzv,63910.34 
[5218] CANCEL_SET_BUY,YIgPFTE1M7,SBK 
[5219] SET_SELL_TRIGGER,RtgbNlNQ82,VJT,15.99 
[5220] CANCEL_BUY,JPE6oMVt1b 
[5221] CANCEL_SET_SELL,ItaC6MIk2c,MFC 
[5222] SELL,pz8HIUVPXH,XYR,313.46 
[5223] SET_SELL_AMOUNT,bfIjLoap9T,KUZ,140.67 
[5224] SET_SELL_TRIGGER,bfIjLoap9T,KUZ,60.98 
[5225] COMMIT_SELL,E9DHfAjHfd 
[5226] COMMIT_BUY,CxzX2w8DmS 
[5227] BUY,qoExOgAPyd,RNJ,207.55 
[5228] COMMIT_BUY,IkWXoni8ti 
[5229] CANCEL_SELL,CvCH8jPh2i 
[5230] SET_BUY_TRIGGER,7nGIkyoUrD,LPF,152.21 
[5231] DISPLAY_SUMMARY,yAAurFarHT 
[5232] SET_BUY_TRIGGER,CvCH8jPh2i,YUI,9.17 
[5233] CANCEL_SET_BUY,CvCH8jPh2i,TNV 
[5234] CANCEL_SELL,CxzX2w8DmS 
[5235] CANCEL_BUY,qoExOgAPyd 
[5236] SET_BUY_TRIGGER,Z14JubX5Uv,PXD,71.23 
[5237] ADD,R4lbhHC1hS,46976.58 
[5238] SET_BUY_AMOUNT,e6Ql5cbsux,LNW,33.44 
[5239] SET_BUY_AMOUNT,La1eSbNL6p,WXZ,584.60 
[5240] SET_BUY_AMOUNT,NmALn2RmzI,RPN,667.61 
[5241] COMMIT_SELL,tK1JNuy0li 
[5242] COMMIT_BUY,jK70t6xffU 
[5243] BUY,Js6LySzcEQ,SRN,257.24 
[5244] QUOTE,NmALn2RmzI,ODH 
[5245] BUY,mZFoN64osd,AAL,426.85 
[5246] SET_BUY_TRIGGER,whcYxtH67L,TNV,135.00 
[5247] CANCEL_BUY,qoExOgAPyd 
[5248] CANCEL_SET_SELL,CvCH8jPh2i,SUN 
[5249] BUY,7nGIkyoUrD,STS,223.82 
[5250] SELL,E9DHfAjHfd,BMJ,696.89 
[5251] CANCEL_BUY,qoExOgAPyd 
[5252] CANCEL_SELL,wMcCWGxtZb 
[5253] SELL,CvCH8jPh2i,RPN,146.76 
[5254] CANCEL_BUY,tK1JNuy0li 
[5255] COMMIT_SELL,zVGmOyE2TY 
[5256] SELL,BDty3gMxBy,XYR,378.62 
[5257] CANCEL_SET_BUY,JPE6oMVt1b,IFV 
[5258] SELL,TMxB3eAn63,RPN,330.62 
[5259] SET_SELL_TRIGGER,QPKBykFnxr,RPN,22.86 
[5260] COMMIT_BUY,7nGIkyoUrD 
[5261] COMMIT_SELL,BxWlges22v 
[5262] SET_BUY_TRIGGER,bfIjLoap9T,RNJ,75.72 
[5263] BUY,IkWXoni8ti,VAL,312.99 
[5264] BUY,LHA4yFlv3r,GGR,646.98 
[5265] ADD,TMxB3eAn63,73320.60 
[5266] ADD,bfIjLoap9T,49382.82 
[5267] SET_SELL_AMOUNT,PDwyOp2gzv,WXZ,670.50 
[5268] QUOTE,TMxB3eAn63,IKA 
[5269] DISPLAY_SUMMARY,PDwyOp2gzv 
[5270] CANCEL_SET_BUY,JPE6oMVt1b,WVC 
[5271] ADD,RtgbNlNQ82,57410.72 
[5272] QUOTE,yAAurFarHT,COI 
[5273] SET_SELL_AMOUNT,NmALn2RmzI,XYR,477.55 
[5274] QUOTE,7nGIkyoUrD,UQO 
[5275] BUY,E5CusuUGY3,DWD,281.57 
[5276] CANCEL_SET_SELL,qoExOgAPyd,YNA 
[5277] CANCEL_SET_BUY,CvCH8jPh2i,RYI 
[5278] DISPLAY_SUMMARY,BxWlges22v 
[5279] QUOTE,La1eSbNL6p,CHG 
[5280] SET_SELL_TRIGGER,NmALn2RmzI,XYR,392.89 
[5281] SELL,uspV5YXJSf,TNV,277.31 
[5282] COMMIT_SELL,Kt8I7sdBcS 
[5283] CANCEL_BUY,E5CusuUGY3 
[5284] SET_SELL_AMOUNT,TMxB3eAn63,KUZ,293.55 
[5285] BUY,RtgbNlNQ82,CHG,410.77 
[5286] COMMIT_BUY,IkWXoni8ti 
[5287] COMMIT_BUY,pTZZjie7eX 
[5288] SET_SELL_TRIGGER,BxWlges22v,YZB,124.11 
[5289] CANCEL_BUY,YIgPFTE1M7 
[5290] SET_SELL_TRIGGER,YIgPFTE1M7,GGR,46.21 
[5291] ADD,pz8HIUVPXH,66870.36 
[5292] COMMIT_SELL,BDty3gMxBy 
[5293] DISPLAY_SUMMARY,pTZZjie7eX 
[5294] SET_SELL_AMOUNT,ItaC6MIk2c,TWQ,736.10 
[5295] SET_SELL_TRIGGER,TMxB3eAn63,KUZ,264.60 
[5296] ADD,zVGmOyE2TY,81338.69 
[5297] QUOTE,YET2WF8iGL,ABQ 
[5298] SET_SELL_TRIGGER,TMxB3eAn63,MAP,33.42 
[5299] COMMIT_BUY,pTZZjie7eX 
[5300] SET_BUY_AMOUNT,h0Ib8LzTs9,WXZ,705.80 
[5301] QUOTE,7nGIkyoUrD,TWQ 
[5302] DISPLAY_SUMMARY,kHMjwfSx2P 
[5303] COMMIT_BUY,RtgbNlNQ82 
[5304] SET_SELL_AMOUNT,QPKBykFnxr,LNW,556.73 
[5305] BUY,pz8HIUVPXH,BMJ,153.18 
[5306] CANCEL_SET_BUY,YIgPFTE1M7,RYI 
[5307] CANCEL_SET_BUY,h0Ib8LzTs9,HGW 
[5308] COMMIT_BUY,Z14JubX5Uv 
[5309] COMMIT_BUY,E9DHfAjHfd 
[5310] COMMIT_BUY,Js6LySzcEQ 
[5311] CANCEL_SELL,jK70t6xffU 
[5312] SELL,whcYxtH67L,XYR,119.14 
[5313] COMMIT_SELL,mMQlpMeOfD 
[5314] QUOTE,kHMjwfSx2P,XYR 
[5315] COMMIT_BUY,pz8HIUVPXH 
[5316] DISPLAY_SUMMARY,whcYxtH67L 
[5317] QUOTE,IkWXoni8ti,UPQ 
[5318] BUY,7nGIkyoUrD,XYC,84.69 
[5319] SET_SELL_TRIGGER,LHA4yFlv3r,CXT,93.69 
[5320] BUY,bfIjLoap9T,GGR,617.49 
[5321] ADD,YET2WF8iGL,75636.02 
[5322] COMMIT_SELL,tK1JNuy0li 
[5323] COMMIT_BUY,mZFoN64osd 
[5324] DISPLAY_SUMMARY,E9DHfAjHfd 
[5325] ADD,E5CusuUGY3,49818.81 
[5326] CANCEL_SELL,zVGmOyE2TY 
[5327] SET_BUY_TRIGGER,e6Ql5cbsux,WVC,6.94 
[5328] SET_BUY_TRIGGER,CvCH8jPh2i,SFY,128.97 
[5329] CANCEL_BUY,BxWlges22v 
[5330] ADD,jK70t6xffU,92228.14 
[5331] SET_SELL_TRIGGER,ItaC6MIk2c,TWQ,474.19 
[5332] ADD,PDwyOp2gzv,70491.04 
[5333] BUY,pz8HIUVPXH,YYX,633.37 
[5334] COMMIT_SELL,whcYxtH67L 
[5335] SET_BUY_TRIGGER,NmALn2RmzI,SLF,482.30 
[5336] ADD,qoExOgAPyd,98056.79 
[5337] SELL,pTZZjie7eX,TWQ,287.46 
[5338] ADD,mMQlpMeOfD,51865.14 
[5339] BUY,mMQlpMeOfD,STS,382.22 
[5340] SET_SELL_TRIGGER,yAAurFarHT,UPQ,62.10 
[5341] QUOTE,tK1JNuy0li,UPQ 
[5342] COMMIT_BUY,mMQlpMeOfD 
[5343] BUY,LHA4yFlv3r,NQP,476.40 
[5344] QUOTE,tK1JNuy0li,VVL 
[5345] DISPLAY_SUMMARY,e6Ql5cbsux 
[5346] BUY,YET2WF8iGL,ACY,400.05 
[5347] DISPLAY_SUMMARY,ItaC6MIk2c 
[5348] DISPLAY_SUMMARY,e6Ql5cbsux 
[5349] CANCEL_SELL,pTZZjie7eX 
[5350] SET_SELL_TRIGGER,QPKBykFnxr,LNW,289.54 
[5351] CANCEL_SET_SELL,L3qfH51ukK,STS 
[5352] BUY,qoExOgAPyd,NOE,410.27 
[5353] SET_BUY_AMOUNT,qoExOgAPyd,BMJ,694.19 
[5354] CANCEL_BUY,Kt8I7sdBcS 
[5355] COMMIT_SELL,JPE6oMVt1b 
[5356] QUOTE,kHMjwfSx2P,RNJ 
[5357] BUY,tK1JNuy0li,VVL,95.18 
[5358] COMMIT_BUY,BDty3gMxBy 
[5359] CANCEL_SELL,ItaC6MIk2c 
[5360] SET_BUY_TRIGGER,r9sY6ykQwB,YRS,119.60 
[5361] COMMIT_BUY,yAAurFarHT 
[5362] SELL,yAAurFarHT,KUZ,14.28 
[5363] CANCEL_BUY,BDty3gMxBy 
[5364] SET_BUY_TRIGGER,BxWlges22v,LNW,185.57 
[5365] SET_BUY_TRIGGER,qEVRIEnox8,SBK,148.22 
[5366] DISPLAY_SUMMARY,JPE6oMVt1b 
[5367] SET_BUY_TRIGGER,uspV5YXJSf,GWE,159.88 
[5368] DISPLAY_SUMMARY,pTZZjie7eX 
[5369] CANCEL_SELL,Js6LySzcEQ 
[5370] COMMIT_SELL,qkUYmnHXvb 
[5371] CANCEL_SET_SELL,E5CusuUGY3,TKB 
[5372] DISPLAY_SUMMARY,whcYxtH67L 
[5373] SET_BUY_AMOUNT,izXvHOmJ6Y,JBQ,183.90 
[5374] BUY,IkWXoni8ti,SBK,184.90 
[5375] QUOTE,CvCH8jPh2i,UUG 
[5376] COMMIT_BUY,L3qfH51ukK 
[5377] ADD,YIgPFTE1M7,58260.52 
[5378] SELL,wMcCWGxtZb,WXZ,33.65 
[5379] COMMIT_SELL,QPKBykFnxr 
[5380] COMMIT_BUY,IkWXoni8ti 
[5381] DISPLAY_SUMMARY,R4lbhHC1hS 
[5382] QUOTE,YIgPFTE1M7,LPF 
[5383] CANCEL_BUY,zVGmOyE2TY 
[5384] COMMIT_SELL,yAAurFarHT 
[5385] SELL,zVGmOyE2TY,JBQ,64.82 
[5386] COMMIT_SELL,NmALn2RmzI 
[5387] CANCEL_SET_BUY,La1eSbNL6p,ZRU 
[5388] CANCEL_BUY,pTZZjie7eX 
[5389] CANCEL_SELL,TMxB3eAn63 
[5390] CANCEL_SET_SELL,BxWlges22v,PXD 
[5391] BUY,mMQlpMeOfD,XXD,81.28 
[5392] COMMIT_BUY,7nGIkyoUrD 
[5393] SELL,Kt8I7sdBcS,UED,672.20 
[5394] CANCEL_BUY,YET2WF8iGL 
[5395] CANCEL_BUY,La1eSbNL6p 
[5396] SET_SELL_AMOUNT,BDty3gMxBy,XYR,586.14 
[5397] SELL,QPKBykFnxr,LNW,690.72 
[5398] ADD,JPE6oMVt1b,58490.52 
[5399] DISPLAY_SUMMARY,e6Ql5cbsux 
[5400] DISPLAY_SUMMARY,r9sY6ykQwB 
[5401] ADD,qEVRIEnox8,68392.00 
[5402] SET_SELL_TRIGGER,pz8HIUVPXH,CXT,101.71 
[5403] SELL,BxWlges22v,UED,279.05 
[5404] BUY,jK70t6xffU,RPF,303.20 
[5405] BUY,YIgPFTE1M7,MFC,290.12 
[5406] COMMIT_BUY,jK70t6xffU 
[5407] SET_BUY_TRIGGER,izXvHOmJ6Y,WXZ,53.20 
[5408] COMMIT_SELL,Z14JubX5Uv 
[5409] DISPLAY_SUMMARY,h0Ib8LzTs9 
[5410] CANCEL_SELL,YIgPFTE1M7 
[5411] CANCEL_SET_BUY,Z14JubX5Uv,RYI 
[5412] DISPLAY_SUMMARY,e6Ql5cbsux 
[5413] QUOTE,TMxB3eAn63,SUN 
[5414] CANCEL_SET_BUY,E9DHfAjHfd,DKJ 
[5415] SELL,ItaC6MIk2c,UED,697.37 
[5416] DISPLAY_SUMMARY,uspV5YXJSf 
[5417] COMMIT_SELL,ItaC6MIk2c 
[5418] SET_SELL_TRIGGER,BDty3gMxBy,XYR,560.72 
[5419] ADD,IkWXoni8ti,55344.15 
[5420] DISPLAY_SUMMARY,Js6LySzcEQ 
[5421] ADD,E5CusuUGY3,55540.18 
[5422] ADD,uspV5YXJSf,34312.41 
[5423] SELL,ItaC6MIk2c,TWQ,692.97 
[5424] COMMIT_BUY,izXvHOmJ6Y 
[5425] SET_BUY_AMOUNT,CvCH8jPh2i,XYR,141.08 
[5426] SELL,h0Ib8LzTs9,XTF,488.69 
[5427] CANCEL_SELL,R4lbhHC1hS 
[5428] SET_BUY_AMOUNT,mMQlpMeOfD,BMJ,485.22 
[5429] BUY,jK70t6xffU,NAI,53.63 
