[1] ADD,umhaEY4lil,91628.00 
[5489] COMMIT_SELL,sYJRWa0Mih 
[5490] SET_SELL_TRIGGER,CqOb5G0hB4,PXL,171.21 
[5491] CANCEL_SELL,jzi5Fg2GGS 
[5492] COMMIT_BUY,ojovZ9YLZM 
[5493] DISPLAY_SUMMARY,sYJRWa0Mih 
[5494] CANCEL_SET_BUY,jzi5Fg2GGS,WKQ 
[5495] SELL,BqhMWgFe1n,VNG,12.06 
[5496] CANCEL_SET_BUY,w69hSQMdyy,PXL 
[5497] SET_SELL_AMOUNT,ojovZ9YLZM,UJD,60.83 
[5498] DISPLAY_SUMMARY,LwNQpkd8mr 
[5499] CANCEL_SET_SELL,ojovZ9YLZM,UJD 
[5500] COMMIT_SELL,BqhMWgFe1n 
[5501] DISPLAY_SUMMARY,jzi5Fg2GGS 
[5502] SELL,LwNQpkd8mr,GTQ,748.55 
[5503] CANCEL_BUY,sYJRWa0Mih 
[5504] ADD,umhaEY4lil,37336.48 
[5505] QUOTE,sYJRWa0Mih,GTQ 
[5506] BUY,ojovZ9YLZM,QLE,447.75 
[5507] DISPLAY_SUMMARY,CqOb5G0hB4 
[5508] CANCEL_SET_BUY,xFrzsBbeiS,VZP 
[5509] SET_SELL_TRIGGER,LwNQpkd8mr,HLU,62.50 
[5510] CANCEL_BUY,BqhMWgFe1n 
[5511] BUY,ojovZ9YLZM,JIS,70.43 
[5512] CANCEL_BUY,LwNQpkd8mr 
[5513] BUY,sYJRWa0Mih,HWU,212.72 
[5514] QUOTE,kul4JJSoHc,RGP 
[5515] DISPLAY_SUMMARY,kul4JJSoHc 
[5516] QUOTE,umhaEY4lil,HWU 
[5517] BUY,xFrzsBbeiS,XAG,276.16 
[5518] COMMIT_BUY,xFrzsBbeiS 
[5519] QUOTE,umhaEY4lil,ACY 
[5520] COMMIT_BUY,CqOb5G0hB4 
[5521] DISPLAY_SUMMARY,kul4JJSoHc 
[5522] QUOTE,xFrzsBbeiS,EZK 
[5523] SET_SELL_AMOUNT,kul4JJSoHc,JZV,544.12 
[5524] SET_BUY_AMOUNT,sYJRWa0Mih,GJT,502.70 
[5525] QUOTE,BqhMWgFe1n,AME 
[5526] ADD,CqOb5G0hB4,73554.99 
[5527] BUY,jzi5Fg2GGS,VNG,381.69 
[5528] SELL,sYJRWa0Mih,VNG,660.35 
[5529] COMMIT_BUY,ojovZ9YLZM 
[5530] QUOTE,CqOb5G0hB4,JIK 
[5531] COMMIT_SELL,sYJRWa0Mih 
[5532] COMMIT_BUY,jzi5Fg2GGS 
[5533] SET_SELL_TRIGGER,kul4JJSoHc,JZV,93.25 
[5534] ADD,w69hSQMdyy,58968.83 
[5535] CANCEL_SELL,BqhMWgFe1n 
[5536] BUY,BqhMWgFe1n,GTQ,244.52 
[5537] CANCEL_BUY,sYJRWa0Mih 
[5538] BUY,sYJRWa0Mih,JGF,620.80 
[5539] BUY,CqOb5G0hB4,JGF,218.31 
[5540] QUOTE,LwNQpkd8mr,RGP 
[5541] ADD,kul4JJSoHc,43308.71 
[5542] CANCEL_SET_BUY,ojovZ9YLZM,QDS 
[5543] DISPLAY_SUMMARY,LwNQpkd8mr 
[5544] DISPLAY_SUMMARY,jzi5Fg2GGS 
[5545] SET_BUY_AMOUNT,umhaEY4lil,MAO,719.18 
[5546] BUY,w69hSQMdyy,MGF,428.95 
[5547] CANCEL_SET_SELL,xFrzsBbeiS,AUJ 
[5548] BUY,kul4JJSoHc,CMO,28.58 
[5549] DISPLAY_SUMMARY,xFrzsBbeiS 
[5550] COMMIT_BUY,BqhMWgFe1n 
[5551] SET_BUY_TRIGGER,sYJRWa0Mih,EZK,130.26 
[5552] QUOTE,BqhMWgFe1n,UJD 
[5553] SET_BUY_TRIGGER,jzi5Fg2GGS,BUK,35.32 
[5554] BUY,w69hSQMdyy,JEM,605.61 
[5555] ADD,LwNQpkd8mr,76720.45 
[5556] COMMIT_BUY,kul4JJSoHc 
[5557] BUY,sYJRWa0Mih,XZF,72.80 
[5558] COMMIT_BUY,sYJRWa0Mih 
[5559] QUOTE,LwNQpkd8mr,JGF 
[5560] CANCEL_SELL,LwNQpkd8mr 
[5561] COMMIT_BUY,LwNQpkd8mr 
[5562] SET_BUY_TRIGGER,CqOb5G0hB4,HWU,166.88 
[5563] SELL,w69hSQMdyy,GAM,665.75 
[5564] QUOTE,kul4JJSoHc,GJT 
[5565] CANCEL_SET_SELL,CqOb5G0hB4,JHH 
[5566] BUY,sYJRWa0Mih,OWG,2.09 
[5567] SET_BUY_TRIGGER,umhaEY4lil,JIK,565.38 
[5568] COMMIT_BUY,CqOb5G0hB4 
[5569] ADD,w69hSQMdyy,78718.21 
[5570] SELL,ojovZ9YLZM,JEM,236.81 
[5571] DISPLAY_SUMMARY,CqOb5G0hB4 
[5572] BUY,xFrzsBbeiS,HLU,587.25 
[5573] SELL,umhaEY4lil,IHA,562.68 
[5574] COMMIT_SELL,LwNQpkd8mr 
[5575] QUOTE,w69hSQMdyy,JIS 
[5576] COMMIT_BUY,sYJRWa0Mih 
[5577] BUY,CqOb5G0hB4,HWU,586.08 
[5578] BUY,jzi5Fg2GGS,YGD,623.92 
[5579] COMMIT_BUY,xFrzsBbeiS 
[5580] BUY,kul4JJSoHc,UTF,416.78 
[5581] COMMIT_SELL,umhaEY4lil 
[5582] DISPLAY_SUMMARY,umhaEY4lil 
[5583] CANCEL_SELL,ojovZ9YLZM 
[5584] COMMIT_SELL,sYJRWa0Mih 
[5585] SET_SELL_AMOUNT,sYJRWa0Mih,OWG,653.72 
[5586] SET_BUY_TRIGGER,w69hSQMdyy,MGF,43.53 
[5587] BUY,ojovZ9YLZM,HLU,160.42 
[5588] COMMIT_BUY,kul4JJSoHc 
[5589] DISPLAY_SUMMARY,w69hSQMdyy 
[5590] COMMIT_BUY,CqOb5G0hB4 
[5591] QUOTE,CqOb5G0hB4,GPV 
[5592] COMMIT_BUY,jzi5Fg2GGS 
[5593] BUY,umhaEY4lil,JHH,120.82 
[5594] SET_SELL_TRIGGER,sYJRWa0Mih,OWG,614.90 
[5595] COMMIT_SELL,kul4JJSoHc 
[5596] BUY,CqOb5G0hB4,QRQ,373.35 
[5597] CANCEL_SET_SELL,xFrzsBbeiS,MPD 
[5598] SET_BUY_TRIGGER,LwNQpkd8mr,FPH,70.63 
[5599] SELL,jzi5Fg2GGS,JGF,407.67 
[5600] QUOTE,jzi5Fg2GGS,MAO 
[5601] QUOTE,kul4JJSoHc,GAM 
[5602] BUY,LwNQpkd8mr,NZO,410.00 
[5603] SELL,kul4JJSoHc,GJT,230.07 
[5604] ADD,CqOb5G0hB4,82849.11 
[5605] SET_SELL_AMOUNT,umhaEY4lil,JHH,462.49 
[5606] CANCEL_SET_BUY,ojovZ9YLZM,JZV 
[5607] ADD,sYJRWa0Mih,66006.05 
[5608] COMMIT_SELL,ojovZ9YLZM 
[5609] SET_SELL_AMOUNT,BqhMWgFe1n,XZF,423.28 
[5610] COMMIT_SELL,sYJRWa0Mih 
[5611] BUY,jzi5Fg2GGS,UTF,22.75 
[5612] SET_SELL_TRIGGER,umhaEY4lil,JHH,164.52 
[5613] COMMIT_SELL,umhaEY4lil 
[5614] SET_SELL_TRIGGER,BqhMWgFe1n,XZF,37.83 
[5615] SET_BUY_TRIGGER,BqhMWgFe1n,GTQ,4.61 
[5616] CANCEL_BUY,jzi5Fg2GGS 
[5617] CANCEL_BUY,kul4JJSoHc 
[5618] CANCEL_BUY,jzi5Fg2GGS 
[5619] CANCEL_BUY,jzi5Fg2GGS 
[5620] SET_BUY_TRIGGER,umhaEY4lil,HWU,88.13 
[5621] ADD,ojovZ9YLZM,63737.95 
[5622] QUOTE,CqOb5G0hB4,BUK 
[5623] COMMIT_BUY,ojovZ9YLZM 
[5624] COMMIT_BUY,BqhMWgFe1n 
[5625] CANCEL_SELL,umhaEY4lil 
[5626] SET_BUY_AMOUNT,umhaEY4lil,XRS,118.16 
[5627] SELL,kul4JJSoHc,GTQ,0.45 
[5628] DISPLAY_SUMMARY,ojovZ9YLZM 
[5629] BUY,xFrzsBbeiS,PXL,451.82 
[5630] SET_BUY_TRIGGER,umhaEY4lil,YGD,51.15 
[5631] QUOTE,w69hSQMdyy,GAM 
[5632] CANCEL_BUY,ojovZ9YLZM 
[5633] CANCEL_BUY,CqOb5G0hB4 
[5634] QUOTE,umhaEY4lil,EZK 
[5635] CANCEL_BUY,umhaEY4lil 
[5636] CANCEL_BUY,kul4JJSoHc 
[5637] SET_SELL_TRIGGER,kul4JJSoHc,YGD,122.37 
[5638] CANCEL_SET_BUY,jzi5Fg2GGS,JEM 
[5639] COMMIT_SELL,ojovZ9YLZM 
[5640] QUOTE,w69hSQMdyy,JEM 
[5641] DISPLAY_SUMMARY,CqOb5G0hB4 
[5642] SELL,xFrzsBbeiS,OWG,546.43 
[5643] SELL,ojovZ9YLZM,JGF,162.12 
[5644] BUY,kul4JJSoHc,NZO,662.65 
[5645] COMMIT_SELL,xFrzsBbeiS 
[5646] BUY,CqOb5G0hB4,CAK,280.77 
[5647] SET_BUY_AMOUNT,CqOb5G0hB4,JGF,295.43 
[5648] BUY,w69hSQMdyy,OWG,301.11 
[5649] BUY,CqOb5G0hB4,MAO,273.84 
[5650] SELL,sYJRWa0Mih,JGF,3.78 
[5651] ADD,jzi5Fg2GGS,66912.91 
[5652] BUY,jzi5Fg2GGS,GPV,95.13 
[5653] COMMIT_BUY,CqOb5G0hB4 
[5654] COMMIT_SELL,ojovZ9YLZM 
[5655] SET_SELL_AMOUNT,umhaEY4lil,THF,237.01 
[5656] QUOTE,LwNQpkd8mr,VZP 
[5657] CANCEL_SET_SELL,umhaEY4lil,THF 
[5658] CANCEL_SELL,sYJRWa0Mih 
[5659] COMMIT_BUY,xFrzsBbeiS 
[5660] SET_SELL_AMOUNT,CqOb5G0hB4,THF,557.95 
[5661] ADD,LwNQpkd8mr,67385.16 
[5662] CANCEL_SELL,ojovZ9YLZM 
[5663] SET_BUY_TRIGGER,ojovZ9YLZM,OWG,44.62 
[5664] SET_BUY_TRIGGER,umhaEY4lil,IHA,27.30 
[5665] QUOTE,LwNQpkd8mr,EWK 
[5666] COMMIT_BUY,BqhMWgFe1n 
[5667] CANCEL_BUY,kul4JJSoHc 
[5668] DISPLAY_SUMMARY,LwNQpkd8mr 
[5669] CANCEL_SELL,sYJRWa0Mih 
[5670] QUOTE,umhaEY4lil,XZF 
[5671] SELL,kul4JJSoHc,GAM,303.33 
[5672] SET_SELL_AMOUNT,sYJRWa0Mih,YGD,81.67 
[5673] QUOTE,BqhMWgFe1n,BKM 
[5674] DISPLAY_SUMMARY,BqhMWgFe1n 
[5675] BUY,LwNQpkd8mr,HBB,439.54 
[5676] SET_SELL_TRIGGER,CqOb5G0hB4,THF,395.40 
[5677] SELL,sYJRWa0Mih,RGP,106.34 
[5678] COMMIT_SELL,kul4JJSoHc 
[5679] CANCEL_SELL,umhaEY4lil 
[5680] COMMIT_BUY,jzi5Fg2GGS 
[5681] ADD,CqOb5G0hB4,73263.66 
[5682] COMMIT_BUY,LwNQpkd8mr 
[5683] ADD,umhaEY4lil,95264.42 
[5684] CANCEL_SET_BUY,BqhMWgFe1n,EZK 
[5685] CANCEL_BUY,xFrzsBbeiS 
[5686] SET_SELL_TRIGGER,kul4JJSoHc,NZO,192.27 
[5687] COMMIT_SELL,kul4JJSoHc 
[5688] CANCEL_SELL,ojovZ9YLZM 
[5689] CANCEL_SET_SELL,jzi5Fg2GGS,QLE 
[5690] COMMIT_SELL,w69hSQMdyy 
[5691] SELL,xFrzsBbeiS,YGD,493.19 
[5692] COMMIT_BUY,ojovZ9YLZM 
[5693] COMMIT_SELL,xFrzsBbeiS 
[5694] ADD,BqhMWgFe1n,71792.92 
[5695] CANCEL_SET_SELL,xFrzsBbeiS,CMO 
[5696] SET_BUY_TRIGGER,BqhMWgFe1n,ACY,112.19 
[5697] QUOTE,LwNQpkd8mr,THF 
[5698] CANCEL_SET_BUY,BqhMWgFe1n,MPD 
[5699] QUOTE,umhaEY4lil,PXL 
[5700] CANCEL_SET_SELL,LwNQpkd8mr,UTF 
[5701] ADD,LwNQpkd8mr,79760.01 
[5702] QUOTE,umhaEY4lil,XRS 
[5703] QUOTE,BqhMWgFe1n,THF 
[5704] BUY,BqhMWgFe1n,EWK,103.27 
[5705] BUY,LwNQpkd8mr,HBB,737.86 
[5706] DISPLAY_SUMMARY,ojovZ9YLZM 
[5707] BUY,jzi5Fg2GGS,HWU,99.61 
[5708] COMMIT_BUY,LwNQpkd8mr 
[5709] COMMIT_SELL,sYJRWa0Mih 
[5710] COMMIT_BUY,BqhMWgFe1n 
[5711] DISPLAY_SUMMARY,kul4JJSoHc 
[5712] QUOTE,umhaEY4lil,XAG 
[5713] COMMIT_BUY,jzi5Fg2GGS 
[5714] CANCEL_BUY,umhaEY4lil 
[5715] SET_SELL_AMOUNT,sYJRWa0Mih,OWG,663.08 
[5716] DISPLAY_SUMMARY,BqhMWgFe1n 
[5717] BUY,sYJRWa0Mih,JIK,672.71 
[5718] CANCEL_BUY,umhaEY4lil 
[5719] COMMIT_BUY,sYJRWa0Mih 
[5720] COMMIT_BUY,w69hSQMdyy 
[5721] CANCEL_SET_BUY,umhaEY4lil,CMO 
[5722] SET_BUY_AMOUNT,BqhMWgFe1n,JHH,655.20 
[5723] CANCEL_SET_SELL,xFrzsBbeiS,WMG 
[5724] SELL,jzi5Fg2GGS,IHA,275.82 
[5725] ADD,kul4JJSoHc,101200.91 
[5726] CANCEL_SET_BUY,xFrzsBbeiS,WMG 
[5727] COMMIT_SELL,sYJRWa0Mih 
[5728] CANCEL_SET_SELL,kul4JJSoHc,ZQG 
[5729] BUY,CqOb5G0hB4,AME,322.32 
[5730] DISPLAY_SUMMARY,kul4JJSoHc 
[5731] CANCEL_SELL,kul4JJSoHc 
[5732] CANCEL_SELL,CqOb5G0hB4 
[5733] COMMIT_SELL,CqOb5G0hB4 
[5734] BUY,umhaEY4lil,BUK,198.40 
[5735] ADD,ojovZ9YLZM,64911.63 
[5736] CANCEL_SET_BUY,BqhMWgFe1n,MPD 
[5737] SET_BUY_AMOUNT,xFrzsBbeiS,XRS,208.83 
[5738] COMMIT_BUY,umhaEY4lil 
[5739] COMMIT_SELL,jzi5Fg2GGS 
[5740] BUY,xFrzsBbeiS,JGF,213.84 
[5741] DISPLAY_SUMMARY,kul4JJSoHc 
[5742] ADD,BqhMWgFe1n,80951.69 
[5743] QUOTE,umhaEY4lil,GJT 
[5744] COMMIT_BUY,xFrzsBbeiS 
[5745] QUOTE,umhaEY4lil,MAO 
[5746] COMMIT_SELL,xFrzsBbeiS 
[5747] CANCEL_SET_BUY,sYJRWa0Mih,AUJ 
[5748] ADD,CqOb5G0hB4,74409.54 
[5749] QUOTE,BqhMWgFe1n,WKQ 
[5750] QUOTE,ojovZ9YLZM,JZV 
[5751] BUY,CqOb5G0hB4,UJD,666.34 
[5752] QUOTE,w69hSQMdyy,FPH 
[5753] COMMIT_BUY,CqOb5G0hB4 
[5754] COMMIT_BUY,jzi5Fg2GGS 
[5755] ADD,LwNQpkd8mr,57263.37 
[5756] COMMIT_SELL,jzi5Fg2GGS 
[5757] DISPLAY_SUMMARY,xFrzsBbeiS 
[5758] SET_BUY_AMOUNT,w69hSQMdyy,RGP,432.24 
[5759] BUY,BqhMWgFe1n,JHH,712.82 
[5760] DISPLAY_SUMMARY,CqOb5G0hB4 
[5761] CANCEL_SET_SELL,xFrzsBbeiS,WKQ 
[5762] BUY,umhaEY4lil,WPJ,466.70 
[5763] SET_BUY_TRIGGER,w69hSQMdyy,QLE,397.66 
[5764] COMMIT_SELL,xFrzsBbeiS 
[5765] COMMIT_BUY,BqhMWgFe1n 
[5766] CANCEL_SELL,CqOb5G0hB4 
[5767] SET_BUY_AMOUNT,CqOb5G0hB4,GTQ,229.20 
[5768] DISPLAY_SUMMARY,BqhMWgFe1n 
[5769] SET_BUY_TRIGGER,CqOb5G0hB4,CDQ,174.49 
[5770] QUOTE,w69hSQMdyy,WKQ 
[5771] ADD,jzi5Fg2GGS,31992.12 
[5772] BUY,ojovZ9YLZM,NZO,409.05 
[5773] CANCEL_BUY,sYJRWa0Mih 
[5774] SET_BUY_TRIGGER,w69hSQMdyy,UTF,183.59 
[5775] COMMIT_SELL,kul4JJSoHc 
[5776] ADD,CqOb5G0hB4,34315.88 
[5777] QUOTE,LwNQpkd8mr,CDQ 
[5778] COMMIT_BUY,umhaEY4lil 
[5779] SELL,xFrzsBbeiS,ZQG,636.58 
[5780] CANCEL_BUY,sYJRWa0Mih 
[5781] SELL,BqhMWgFe1n,JIK,37.82 
[5782] COMMIT_SELL,xFrzsBbeiS 
[5783] ADD,xFrzsBbeiS,64805.86 
[5784] BUY,xFrzsBbeiS,VNG,446.85 
[5785] BUY,CqOb5G0hB4,ZQG,476.20 
[5786] ADD,LwNQpkd8mr,60835.94 
[5787] QUOTE,umhaEY4lil,RGP 
[5788] SELL,sYJRWa0Mih,XRS,668.00 
[5789] ADD,xFrzsBbeiS,63877.13 
[5790] DISPLAY_SUMMARY,kul4JJSoHc 
[5791] SELL,BqhMWgFe1n,GAM,265.03 
[5792] QUOTE,LwNQpkd8mr,ACY 
[5793] BUY,jzi5Fg2GGS,HWU,498.85 
[5794] CANCEL_SET_SELL,umhaEY4lil,OOP 
[5795] CANCEL_BUY,ojovZ9YLZM 
[5796] COMMIT_BUY,sYJRWa0Mih 
[5797] CANCEL_SET_SELL,kul4JJSoHc,ACY 
[5798] SET_SELL_TRIGGER,BqhMWgFe1n,VNG,31.75 
[5799] SELL,sYJRWa0Mih,VNG,443.50 
[5800] SET_BUY_TRIGGER,jzi5Fg2GGS,JHH,117.17 
[5801] COMMIT_BUY,CqOb5G0hB4 
[5802] CANCEL_BUY,CqOb5G0hB4 
[5803] BUY,xFrzsBbeiS,FCT,286.53 
[5804] CANCEL_BUY,kul4JJSoHc 
[5805] DISPLAY_SUMMARY,BqhMWgFe1n 
[5806] DISPLAY_SUMMARY,w69hSQMdyy 
[5807] CANCEL_BUY,ojovZ9YLZM 
[5808] COMMIT_BUY,ojovZ9YLZM 
[5809] SELL,w69hSQMdyy,QDS,204.02 
[5810] DISPLAY_SUMMARY,kul4JJSoHc 
[5811] QUOTE,BqhMWgFe1n,UTF 
[5812] SET_BUY_TRIGGER,LwNQpkd8mr,JIS,2.63 
[5813] DISPLAY_SUMMARY,CqOb5G0hB4 
[5814] CANCEL_BUY,ojovZ9YLZM 
[5815] CANCEL_BUY,kul4JJSoHc 
[5816] DISPLAY_SUMMARY,ojovZ9YLZM 
[5817] COMMIT_SELL,w69hSQMdyy 
[5818] CANCEL_SELL,kul4JJSoHc 
[5819] COMMIT_SELL,BqhMWgFe1n 
[5820] BUY,ojovZ9YLZM,GAM,572.28 
[5821] SET_SELL_AMOUNT,w69hSQMdyy,JZV,289.49 
[5822] SELL,LwNQpkd8mr,EZK,83.84 
[5823] CANCEL_SELL,CqOb5G0hB4 
[5824] SET_SELL_TRIGGER,w69hSQMdyy,JZV,207.46 
[5825] CANCEL_SET_SELL,umhaEY4lil,WPJ 
[5826] DISPLAY_SUMMARY,BqhMWgFe1n 
[5827] CANCEL_SELL,BqhMWgFe1n 
[5828] BUY,sYJRWa0Mih,RGP,254.68 
[5829] CANCEL_SELL,LwNQpkd8mr 
[5830] CANCEL_BUY,BqhMWgFe1n 
[5831] QUOTE,umhaEY4lil,JHH 
[5832] CANCEL_BUY,LwNQpkd8mr 
[5833] CANCEL_BUY,ojovZ9YLZM 
[5834] QUOTE,jzi5Fg2GGS,BKM 
[5835] SELL,ojovZ9YLZM,ZQG,609.44 
[5836] COMMIT_BUY,BqhMWgFe1n 
[5837] SET_BUY_TRIGGER,jzi5Fg2GGS,MGF,46.88 
[5838] ADD,jzi5Fg2GGS,48765.83 
[5839] SET_SELL_AMOUNT,BqhMWgFe1n,JIK,746.13 
[5840] DISPLAY_SUMMARY,BqhMWgFe1n 
[5841] ADD,kul4JJSoHc,73406.84 
[5842] COMMIT_BUY,sYJRWa0Mih 
[5843] SET_SELL_AMOUNT,ojovZ9YLZM,QLE,165.21 
[5844] COMMIT_BUY,w69hSQMdyy 
[5845] BUY,jzi5Fg2GGS,JEM,118.32 
[5846] COMMIT_BUY,xFrzsBbeiS 
[5847] CANCEL_SET_SELL,LwNQpkd8mr,THF 
[5848] BUY,CqOb5G0hB4,JHH,458.86 
[5849] COMMIT_BUY,jzi5Fg2GGS 
[5850] QUOTE,kul4JJSoHc,MPD 
[5851] COMMIT_SELL,w69hSQMdyy 
[5852] SELL,BqhMWgFe1n,RGP,246.89 
[5853] SELL,xFrzsBbeiS,BKM,676.10 
[5854] BUY,kul4JJSoHc,ACY,322.59 
[5855] SET_SELL_TRIGGER,ojovZ9YLZM,QLE,84.70 
[5856] DISPLAY_SUMMARY,jzi5Fg2GGS 
[5857] CANCEL_SELL,w69hSQMdyy 
[5858] COMMIT_SELL,xFrzsBbeiS 
[5859] BUY,umhaEY4lil,CDQ,725.67 
[5860] COMMIT_BUY,CqOb5G0hB4 
[5861] SELL,CqOb5G0hB4,JIK,361.89 
[5862] SELL,jzi5Fg2GGS,VNG,718.16 
[5863] SELL,w69hSQMdyy,RGP,558.75 
[5864] DISPLAY_SUMMARY,BqhMWgFe1n 
[5865] CANCEL_SET_SELL,sYJRWa0Mih,OWG 
[5866] QUOTE,CqOb5G0hB4,CAK 
[5867] COMMIT_BUY,kul4JJSoHc 
[5868] BUY,sYJRWa0Mih,WKQ,507.52 
[5869] COMMIT_SELL,BqhMWgFe1n 
[5870] COMMIT_SELL,umhaEY4lil 
[5871] SET_SELL_TRIGGER,LwNQpkd8mr,HBB,158.18 
[5872] COMMIT_BUY,kul4JJSoHc 
[5873] QUOTE,w69hSQMdyy,JIS 
[5874] BUY,CqOb5G0hB4,ZQG,701.90 
[5875] SET_BUY_TRIGGER,BqhMWgFe1n,VZP,198.04 
[5876] CANCEL_BUY,kul4JJSoHc 
[5877] CANCEL_SET_SELL,ojovZ9YLZM,ACY 
[5878] SELL,umhaEY4lil,BKM,693.75 
[5879] QUOTE,w69hSQMdyy,JIK 
[5880] ADD,w69hSQMdyy,73119.61 
[5881] COMMIT_BUY,CqOb5G0hB4 
[5882] QUOTE,w69hSQMdyy,FCT 
[5883] ADD,ojovZ9YLZM,59204.23 
[5884] QUOTE,kul4JJSoHc,JEM 
[5885] COMMIT_BUY,sYJRWa0Mih 
[5886] CANCEL_SET_BUY,LwNQpkd8mr,JHH 
[5887] BUY,kul4JJSoHc,BUK,617.56 
[5888] ADD,BqhMWgFe1n,81366.43 
[5889] QUOTE,w69hSQMdyy,UTF 
[5890] QUOTE,BqhMWgFe1n,XRS 
[5891] SELL,BqhMWgFe1n,JHH,725.77 
[5892] BUY,ojovZ9YLZM,OOP,70.52 
[5893] QUOTE,LwNQpkd8mr,WMG 
[5894] CANCEL_BUY,ojovZ9YLZM 
[5895] COMMIT_BUY,kul4JJSoHc 
[5896] SET_BUY_TRIGGER,umhaEY4lil,NZO,42.47 
[5897] SET_BUY_TRIGGER,w69hSQMdyy,RGP,103.98 
[5898] SET_BUY_TRIGGER,CqOb5G0hB4,XAG,151.78 
[5899] ADD,CqOb5G0hB4,45352.97 
[5900] CANCEL_SET_BUY,kul4JJSoHc,VNG 
[5901] COMMIT_SELL,xFrzsBbeiS 
[5902] ADD,umhaEY4lil,54147.80 
[5903] CANCEL_SELL,kul4JJSoHc 
[5904] COMMIT_SELL,ojovZ9YLZM 
[5905] QUOTE,kul4JJSoHc,MGF 
[5906] COMMIT_SELL,BqhMWgFe1n 
[5907] QUOTE,umhaEY4lil,OWG 
[5908] COMMIT_SELL,jzi5Fg2GGS 
[5909] CANCEL_SET_BUY,xFrzsBbeiS,FPH 
[5910] QUOTE,umhaEY4lil,VZP 
[5911] DISPLAY_SUMMARY,xFrzsBbeiS 
[5912] ADD,w69hSQMdyy,66225.07 
[5913] ADD,kul4JJSoHc,50523.39 
[5914] CANCEL_BUY,xFrzsBbeiS 
[5915] CANCEL_BUY,BqhMWgFe1n 
[5916] BUY,CqOb5G0hB4,OWG,553.45 
[5917] CANCEL_SET_BUY,xFrzsBbeiS,JGF 
[5918] SET_BUY_TRIGGER,jzi5Fg2GGS,XAG,85.49 
[5919] BUY,kul4JJSoHc,GPV,149.63 
[5920] COMMIT_BUY,BqhMWgFe1n 
[5921] CANCEL_SET_SELL,BqhMWgFe1n,JIK 
[5922] SET_BUY_AMOUNT,LwNQpkd8mr,OWG,240.96 
[5923] SELL,jzi5Fg2GGS,MAO,348.25 
[5924] SELL,BqhMWgFe1n,THF,663.30 
[5925] QUOTE,BqhMWgFe1n,AUJ 
[5926] COMMIT_BUY,CqOb5G0hB4 
[5927] SET_SELL_TRIGGER,sYJRWa0Mih,WPJ,64.13 
[5928] QUOTE,BqhMWgFe1n,FPH 
[5929] SET_SELL_AMOUNT,BqhMWgFe1n,JHH,83.27 
[5930] ADD,ojovZ9YLZM,88498.82 
[5931] SET_BUY_TRIGGER,LwNQpkd8mr,RGP,86.12 
[5932] QUOTE,umhaEY4lil,WMG 
[5933] BUY,LwNQpkd8mr,RGP,449.44 
[5934] CANCEL_SET_SELL,CqOb5G0hB4,BKM 
[5935] CANCEL_BUY,kul4JJSoHc 
[5936] COMMIT_SELL,CqOb5G0hB4 
[5937] SELL,xFrzsBbeiS,WKQ,449.22 
[5938] DISPLAY_SUMMARY,CqOb5G0hB4 
[5939] COMMIT_SELL,xFrzsBbeiS 
[5940] COMMIT_SELL,jzi5Fg2GGS 
[5941] CANCEL_BUY,LwNQpkd8mr 
[5942] SELL,LwNQpkd8mr,OWG,671.61 
[5943] BUY,w69hSQMdyy,NZO,111.98 
[5944] COMMIT_SELL,sYJRWa0Mih 
[5945] CANCEL_SET_SELL,w69hSQMdyy,BKM 
[5946] SET_BUY_TRIGGER,sYJRWa0Mih,UJD,21.67 
[5947] SET_SELL_TRIGGER,BqhMWgFe1n,JHH,17.82 
[5948] BUY,BqhMWgFe1n,PXL,648.57 
[5949] CANCEL_SET_BUY,kul4JJSoHc,OWG 
[5950] DISPLAY_SUMMARY,xFrzsBbeiS 
[5951] CANCEL_SELL,umhaEY4lil 
[5952] CANCEL_SET_BUY,LwNQpkd8mr,UTF 
[5953] SELL,sYJRWa0Mih,EZK,12.93 
[5954] DISPLAY_SUMMARY,jzi5Fg2GGS 
[5955] CANCEL_BUY,kul4JJSoHc 
[5956] DISPLAY_SUMMARY,umhaEY4lil 
[5957] COMMIT_SELL,kul4JJSoHc 
[5958] CANCEL_BUY,BqhMWgFe1n 
[5959] ADD,umhaEY4lil,92419.37 
[5960] DISPLAY_SUMMARY,kul4JJSoHc 
[5961] COMMIT_SELL,sYJRWa0Mih 
[5962] CANCEL_BUY,jzi5Fg2GGS 
[5963] QUOTE,CqOb5G0hB4,ACY 
[5964] COMMIT_BUY,kul4JJSoHc 
[5965] SET_SELL_AMOUNT,LwNQpkd8mr,GAM,528.19 
[5966] COMMIT_BUY,w69hSQMdyy 
[5967] ADD,kul4JJSoHc,73539.07 
[5968] SELL,xFrzsBbeiS,HLU,89.36 
[5969] SET_SELL_TRIGGER,w69hSQMdyy,GTQ,33.13 
[5970] BUY,umhaEY4lil,WKQ,658.35 
[5971] CANCEL_SET_SELL,BqhMWgFe1n,RGP 
[5972] BUY,ojovZ9YLZM,THF,567.52 
[5973] CANCEL_SET_BUY,CqOb5G0hB4,JIK 
[5974] QUOTE,BqhMWgFe1n,HWU 
[5975] QUOTE,sYJRWa0Mih,XRS 
[5976] SET_SELL_AMOUNT,w69hSQMdyy,MGF,358.66 
[5977] SET_SELL_TRIGGER,LwNQpkd8mr,GAM,98.81 
