[1] ADD,lLn3fa1FIk,75576.00 
[57183] BUY,lLn3fa1FIk,JQG,122.04 
[57184] SET_SELL_AMOUNT,3mEsf51UBo,QJZ,712.57 
[57185] DISPLAY_SUMMARY,REUXfFUthD 
[57186] SET_SELL_TRIGGER,cehNQrvm7R,UIE,216.14 
[57187] COMMIT_SELL,D6zA2CRl22 
[57188] COMMIT_SELL,kMcjEkmbDd 
[57189] DISPLAY_SUMMARY,TRCadzjH8F 
[57190] DISPLAY_SUMMARY,kMcjEkmbDd 
[57191] SET_BUY_AMOUNT,hrINHOrbWw,ZYR,106.22 
[57192] COMMIT_BUY,FOsYiQU5Qk 
[57193] SET_SELL_TRIGGER,BOvGL2MRxg,OEY,506.57 
[57194] CANCEL_BUY,p876fU7BEx 
[57195] SELL,etWfSg2zBt,AVX,725.58 
[57196] BUY,28VL4WCD6l,XEA,293.81 
[57197] SET_SELL_AMOUNT,xETyPXWhj9,QGE,390.91 
[57198] SET_SELL_TRIGGER,wYQUhjq8PE,JHY,119.93 
[57199] ADD,8xgyjkdphP,66955.36 
[57200] CANCEL_SET_SELL,xETyPXWhj9,QGE 
[57201] BUY,n4E566ZogW,WCY,672.30 
[57202] SELL,xgci4T0tkO,OEY,19.61 
[57203] QUOTE,oAd3QaqYgz,GWF 
[57204] CANCEL_SELL,8xgyjkdphP 
[57205] SET_BUY_AMOUNT,n9qniWnHrs,BYA,588.91 
[57206] DISPLAY_SUMMARY,FOsYiQU5Qk 
[57207] QUOTE,ZVyQqBS4Yw,SMS 
[57208] CANCEL_SET_SELL,9Z89FNPK7B,AJL 
[57209] SELL,XwKSBoZ6lO,ZTI,51.18 
[57210] SET_BUY_AMOUNT,dALWhJa374,CUZ,168.64 
[57211] BUY,F0mQHf8fev,VVW,641.85 
[57212] COMMIT_BUY,e6JAmPjBmb 
[57213] BUY,uzApK6tlMI,BBC,729.52 
[57214] ADD,2GizxWZj6J,99696.65 
[57215] BUY,akVcdarOA3,FTP,739.90 
[57216] SET_BUY_TRIGGER,qE6dGnwk51,QAX,39.63 
[57217] SET_SELL_AMOUNT,FOsYiQU5Qk,RGH,457.92 
[57218] ADD,kMcjEkmbDd,52620.50 
[57219] BUY,xka9Jdr7ac,YCH,697.69 
[57220] BUY,etWfSg2zBt,KCA,457.87 
[57221] COMMIT_SELL,vmBnGlfW5S 
[57222] COMMIT_BUY,ooUBBK63Qe 
[57223] SET_BUY_TRIGGER,uWX4TGhR6O,QBD,158.59 
[57224] SET_BUY_TRIGGER,dALWhJa374,VNN,94.43 
[57225] COMMIT_BUY,6bw5h7oAdg 
[57226] SELL,6bw5h7oAdg,RNK,506.68 
[57227] CANCEL_BUY,uzApK6tlMI 
[57228] BUY,e7Zw0RBCl6,ZNY,729.27 
[57229] SET_SELL_AMOUNT,kcrL7pVjFP,RUN,278.87 
[57230] ADD,TViJpUe5JR,62061.06 
[57231] ADD,e7Zw0RBCl6,38451.35 
[57232] SET_SELL_TRIGGER,3mEsf51UBo,QJZ,131.18 
[57233] SET_SELL_AMOUNT,q0Qp5MF3CI,CSZ,708.60 
[57234] CANCEL_SELL,xgci4T0tkO 
[57235] CANCEL_BUY,FjKEXA3hdZ 
[57236] BUY,g3Xh0OB6vf,ESN,89.69 
[57237] DISPLAY_SUMMARY,TViJpUe5JR 
[57238] BUY,D6zA2CRl22,YXK,9.20 
[57239] DISPLAY_SUMMARY,t56BLlGu3K 
[57240] ADD,v2iT5RAbiA,86464.05 
[57241] DISPLAY_SUMMARY,e6JAmPjBmb 
[57242] BUY,AwEXQhdKGW,JXW,206.39 
[57243] BUY,eGGeSBtfEQ,HPN,180.70 
[57244] COMMIT_SELL,oAd3QaqYgz 
[57245] DISPLAY_SUMMARY,FOsYiQU5Qk 
[57246] CANCEL_SET_SELL,7UUhSRHInh,SPL 
[57247] QUOTE,NmnabmB6tO,DTG 
[57248] CANCEL_SET_SELL,NcGvD9d4mj,XXQ 
[57249] BUY,4vBuSX8YYJ,YRO,500.46 
[57250] SET_BUY_AMOUNT,HBb0dWvkmH,UIE,332.15 
[57251] DISPLAY_SUMMARY,gou39c5KlQ 
[57252] SELL,NcGvD9d4mj,OPN,249.36 
[57253] CANCEL_SELL,QXEQWDUSMg 
[57254] ADD,8pCSyzEP5L,58084.02 
[57255] COMMIT_BUY,hPnf9OsmbW 
[57256] ADD,1uGQw5a691,64438.78 
[57257] SET_BUY_TRIGGER,n9qniWnHrs,PDB,495.25 
[57258] BUY,U4jQmk30QS,ZYF,369.78 
[57259] COMMIT_SELL,NcGvD9d4mj 
[57260] SET_BUY_AMOUNT,kESyNMCJeA,OEY,557.59 
[57261] SET_BUY_TRIGGER,aMMzTGXVGg,KQZ,108.08 
[57262] BUY,BOvGL2MRxg,JIO,710.20 
[57263] QUOTE,CetaglZj6n,EHF 
[57264] BUY,wYQUhjq8PE,JGG,457.30 
[57265] BUY,e7Zw0RBCl6,VNN,418.71 
[57266] SET_SELL_TRIGGER,q0Qp5MF3CI,CSZ,24.90 
[57267] QUOTE,JZJCffUI5S,KPU 
[57268] QUOTE,v2iT5RAbiA,GJR 
[57269] SELL,NcGvD9d4mj,MFX,229.97 
[57270] COMMIT_SELL,eGGeSBtfEQ 
[57271] COMMIT_BUY,xRR8b3q6bp 
[57272] QUOTE,7Jo2brvLiF,NGZ 
[57273] CANCEL_SET_SELL,UuEeoiTzyl,SDL 
[57274] QUOTE,9Z89FNPK7B,POI 
[57275] SET_BUY_AMOUNT,cehNQrvm7R,MXD,690.04 
[57276] SET_BUY_TRIGGER,ooUBBK63Qe,STT,56.29 
[57277] COMMIT_BUY,lLn3fa1FIk 
[57278] COMMIT_SELL,Rq5xFLYt6l 
[57279] BUY,CetaglZj6n,QID,555.03 
[57280] QUOTE,HGsodwsfKO,TSU 
[57281] CANCEL_SET_SELL,v2iT5RAbiA,NOP 
[57282] BUY,km22Ao7dfo,ZNY,190.27 
[57283] ADD,LtO7mQU2OX,60363.99 
[57284] COMMIT_SELL,8IA1PUK3hd 
[57285] CANCEL_SELL,km22Ao7dfo 
[57286] SELL,AnPcs8yTdQ,NHG,504.27 
[57287] QUOTE,LtO7mQU2OX,ZOT 
[57288] DISPLAY_SUMMARY,7UUhSRHInh 
[57289] BUY,kESyNMCJeA,RUN,341.42 
[57290] SET_BUY_TRIGGER,xETyPXWhj9,GGI,84.06 
[57291] SELL,QXEQWDUSMg,LFU,237.71 
[57292] SET_SELL_AMOUNT,AnPcs8yTdQ,DFE,510.66 
[57293] BUY,NcGvD9d4mj,PIE,635.37 
[57294] SET_SELL_TRIGGER,7UUhSRHInh,DXQ,88.14 
[57295] ADD,0oVAF91nA3,90144.20 
[57296] SET_SELL_TRIGGER,7UUhSRHInh,ZFK,51.44 
[57297] SET_SELL_TRIGGER,oAd3QaqYgz,MJU,55.99 
[57298] SET_SELL_TRIGGER,eGGeSBtfEQ,JNO,197.16 
[57299] BUY,OO6PWyjuYk,SWD,256.70 
[57300] BUY,JZJCffUI5S,ZGN,522.86 
[57301] ADD,HBbyhPrKJi,51101.31 
[57302] ADD,xgci4T0tkO,73874.34 
[57303] SET_SELL_TRIGGER,AnPcs8yTdQ,DFE,456.81 
[57304] QUOTE,0oVAF91nA3,ILT 
[57305] SELL,gou39c5KlQ,IFN,656.69 
[57306] BUY,UUcfl1X3U9,URI,682.43 
[57307] DISPLAY_SUMMARY,AwEXQhdKGW 
[57308] COMMIT_SELL,F3iruDCI8F 
[57309] BUY,kryOHlcACM,VZB,558.34 
[57310] SET_SELL_AMOUNT,y5IWeezXEN,CUZ,658.45 
[57311] COMMIT_BUY,k5RWRveCOY 
[57312] SET_SELL_TRIGGER,akVcdarOA3,MIQ,54.87 
[57313] SET_SELL_TRIGGER,v2iT5RAbiA,RDK,21.26 
[57314] COMMIT_BUY,BOvGL2MRxg 
[57315] SET_SELL_AMOUNT,2xvOQRaMMK,QAX,556.38 
[57316] QUOTE,kMcjEkmbDd,OXV 
[57317] SET_SELL_TRIGGER,mR1GL8In4q,OPN,162.82 
[57318] ADD,TViJpUe5JR,45920.14 
[57319] QUOTE,km22Ao7dfo,QPR 
[57320] BUY,F3iruDCI8F,ENQ,30.13 
[57321] SET_BUY_AMOUNT,XeYo2ezKey,UIE,536.71 
[57322] DISPLAY_SUMMARY,lLn3fa1FIk 
[57323] QUOTE,xKgBJKhIlx,BEG 
[57324] SET_SELL_AMOUNT,k5RWRveCOY,DFE,631.23 
[57325] ADD,mR1GL8In4q,90026.30 
[57326] QUOTE,8pCSyzEP5L,NLT 
[57327] SELL,TRCadzjH8F,LFU,109.12 
[57328] SET_BUY_TRIGGER,cehNQrvm7R,IUN,97.02 
[57329] DISPLAY_SUMMARY,TViJpUe5JR 
[57330] COMMIT_SELL,6bw5h7oAdg 
[57331] SET_SELL_TRIGGER,xETyPXWhj9,FQG,96.92 
[57332] QUOTE,8pCSyzEP5L,CUQ 
[57333] QUOTE,BOvGL2MRxg,XYV 
[57334] CANCEL_SET_BUY,hQaIWhluU7,HTD 
[57335] CANCEL_SELL,wYQUhjq8PE 
[57336] SET_SELL_TRIGGER,y5IWeezXEN,CUZ,531.41 
[57337] COMMIT_BUY,JZJCffUI5S 
[57338] QUOTE,mR1GL8In4q,YNH 
[57339] BUY,8xgyjkdphP,NGH,60.68 
[57340] SET_SELL_TRIGGER,kcrL7pVjFP,RUN,41.34 
[57341] CANCEL_BUY,U4jQmk30QS 
[57342] QUOTE,BOvGL2MRxg,ZOW 
[57343] COMMIT_BUY,9RCeWXbzj9 
[57344] SELL,xETyPXWhj9,BCQ,359.62 
[57345] SET_BUY_TRIGGER,HBb0dWvkmH,LTB,157.98 
[57346] COMMIT_BUY,n4E566ZogW 
[57347] DISPLAY_SUMMARY,UUcfl1X3U9 
[57348] BUY,ugupCCzmJf,VGW,443.94 
[57349] CANCEL_BUY,e7Zw0RBCl6 
[57350] DISPLAY_SUMMARY,8IA1PUK3hd 
[57351] SET_BUY_TRIGGER,8pCSyzEP5L,YJK,39.29 
[57352] SET_BUY_TRIGGER,AnPcs8yTdQ,IBT,154.01 
[57353] BUY,y5IWeezXEN,HHC,687.90 
[57354] SET_SELL_AMOUNT,FOsYiQU5Qk,VTY,372.27 
[57355] CANCEL_SELL,xka9Jdr7ac 
[57356] ADD,3mEsf51UBo,56715.10 
[57357] SET_SELL_TRIGGER,FOsYiQU5Qk,VTY,126.24 
[57358] DISPLAY_SUMMARY,REUXfFUthD 
[57359] DISPLAY_SUMMARY,REUXfFUthD 
[57360] DISPLAY_SUMMARY,mR1GL8In4q 
[57361] ADD,8pCSyzEP5L,100753.29 
[57362] COMMIT_BUY,mR1GL8In4q 
[57363] ADD,FOsYiQU5Qk,71630.77 
[57364] CANCEL_SET_SELL,e7Zw0RBCl6,WKL 
[57365] QUOTE,xRR8b3q6bp,URY 
[57366] SET_SELL_TRIGGER,69DAEr1YIe,RGH,394.80 
[57367] QUOTE,Z5Z6RJO7ho,LRS 
[57368] CANCEL_BUY,e7Zw0RBCl6 
[57369] BUY,Z5Z6RJO7ho,JUJ,251.56 
[57370] BUY,n4E566ZogW,MOF,275.48 
[57371] COMMIT_SELL,nV1jqGc3b6 
[57372] QUOTE,1uGQw5a691,KRY 
[57373] SET_BUY_TRIGGER,xRR8b3q6bp,SQS,9.41 
[57374] SET_SELL_TRIGGER,NmnabmB6tO,GGI,26.97 
[57375] COMMIT_SELL,QXEQWDUSMg 
[57376] CANCEL_SELL,unNg5XYq8A 
[57377] SET_SELL_AMOUNT,vmBnGlfW5S,OEY,405.61 
[57378] SET_SELL_TRIGGER,TRCadzjH8F,JQO,52.66 
[57379] SET_BUY_AMOUNT,mR1GL8In4q,FQP,290.37 
[57380] QUOTE,vmBnGlfW5S,PFN 
[57381] SET_BUY_AMOUNT,uWX4TGhR6O,UIE,586.00 
[57382] SET_SELL_TRIGGER,qE6dGnwk51,RGM,158.34 
[57383] ADD,7Jo2brvLiF,67429.74 
[57384] COMMIT_BUY,y5IWeezXEN 
[57385] DISPLAY_SUMMARY,oAd3QaqYgz 
[57386] QUOTE,hBEPbg75Qp,QUT 
[57387] CANCEL_SELL,UuEeoiTzyl 
[57388] QUOTE,3mEsf51UBo,FRB 
[57389] SET_BUY_TRIGGER,uWX4TGhR6O,MVY,424.33 
[57390] SET_BUY_TRIGGER,g3Xh0OB6vf,MWV,176.86 
[57391] COMMIT_BUY,x8GMbOCXJX 
[57392] ADD,uWX4TGhR6O,85815.08 
[57393] COMMIT_BUY,OO6PWyjuYk 
[57394] BUY,ooUBBK63Qe,SEI,212.28 
[57395] SET_SELL_TRIGGER,e6JAmPjBmb,KES,70.45 
[57396] ADD,dALWhJa374,63253.38 
[57397] SET_BUY_TRIGGER,U4jQmk30QS,ZFJ,74.36 
[57398] SET_SELL_AMOUNT,REUXfFUthD,UBJ,689.47 
[57399] SET_BUY_TRIGGER,hrINHOrbWw,OEX,68.14 
[57400] SET_BUY_TRIGGER,y5IWeezXEN,OOT,72.67 
[57401] SET_SELL_AMOUNT,WUsol6wtDm,RGH,478.71 
[57402] SET_BUY_TRIGGER,U4jQmk30QS,FFZ,54.44 
[57403] QUOTE,qE6dGnwk51,OYS 
[57404] ADD,hPnf9OsmbW,79732.84 
[57405] QUOTE,oAd3QaqYgz,FTP 
[57406] SET_SELL_TRIGGER,etWfSg2zBt,CUZ,132.96 
[57407] SET_SELL_TRIGGER,akVcdarOA3,RGM,159.36 
[57408] BUY,eGGeSBtfEQ,TSU,6.86 
[57409] QUOTE,OO6PWyjuYk,BMQ 
[57410] QUOTE,2GizxWZj6J,GJR 
[57411] ADD,n9qniWnHrs,78662.37 
[57412] SELL,Z5Z6RJO7ho,CUZ,624.20 
[57413] DISPLAY_SUMMARY,XwKSBoZ6lO 
[57414] SET_SELL_TRIGGER,REUXfFUthD,UBJ,437.15 
[57415] ADD,TRCadzjH8F,69458.76 
[57416] BUY,kMcjEkmbDd,KAR,323.15 
[57417] DISPLAY_SUMMARY,LtO7mQU2OX 
[57418] BUY,OO6PWyjuYk,QJZ,284.44 
[57419] SELL,XeYo2ezKey,DFE,318.12 
[57420] QUOTE,dALWhJa374,CXC 
[57421] QUOTE,9RCeWXbzj9,JVT 
[57422] SET_SELL_TRIGGER,WUsol6wtDm,RGH,187.61 
[57423] SET_SELL_AMOUNT,aMMzTGXVGg,PTP,547.29 
[57424] CANCEL_SELL,vmBnGlfW5S 
[57425] DISPLAY_SUMMARY,akVcdarOA3 
[57426] BUY,hBEPbg75Qp,PTP,188.91 
[57427] CANCEL_SET_SELL,ZVyQqBS4Yw,BFU 
[57428] COMMIT_BUY,KnTBc3qwcr 
[57429] SET_BUY_TRIGGER,U4jQmk30QS,HBF,190.04 
[57430] QUOTE,TRCadzjH8F,QSS 
[57431] DISPLAY_SUMMARY,XwKSBoZ6lO 
[57432] SET_SELL_AMOUNT,QXEQWDUSMg,JZJ,266.66 
[57433] QUOTE,uWX4TGhR6O,CMD 
[57434] BUY,vmBnGlfW5S,WCR,366.92 
[57435] SELL,hrINHOrbWw,EBS,719.11 
[57436] SELL,wYQUhjq8PE,ZAN,235.94 
[57437] ADD,REUXfFUthD,33054.31 
[57438] BUY,YBTGw9v3Cl,SMS,461.31 
[57439] SET_SELL_TRIGGER,aMMzTGXVGg,PTP,243.33 
[57440] CANCEL_SET_SELL,UUcfl1X3U9,OYS 
[57441] CANCEL_SELL,gou39c5KlQ 
[57442] SET_BUY_TRIGGER,unNg5XYq8A,ZDB,176.86 
[57443] SET_SELL_AMOUNT,n9qniWnHrs,EBS,435.25 
[57444] COMMIT_BUY,ooUBBK63Qe 
[57445] BUY,hBEPbg75Qp,QXW,191.11 
[57446] ADD,AwEXQhdKGW,64130.58 
[57447] DISPLAY_SUMMARY,oAd3QaqYgz 
[57448] DISPLAY_SUMMARY,HBb0dWvkmH 
[57449] COMMIT_BUY,ugupCCzmJf 
[57450] CANCEL_SET_SELL,UuEeoiTzyl,KKI 
[57451] SET_SELL_AMOUNT,xRR8b3q6bp,ZYR,622.73 
[57452] DISPLAY_SUMMARY,AnPcs8yTdQ 
[57453] CANCEL_SET_SELL,x8GMbOCXJX,DBC 
[57454] SET_BUY_AMOUNT,1uGQw5a691,UBJ,96.84 
[57455] COMMIT_BUY,28VL4WCD6l 
[57456] ADD,gou39c5KlQ,88290.91 
[57457] SELL,xRR8b3q6bp,JQO,257.29 
[57458] ADD,y5IWeezXEN,80692.30 
[57459] SET_SELL_AMOUNT,unNg5XYq8A,XQC,268.57 
[57460] SET_SELL_AMOUNT,lLn3fa1FIk,BYA,56.44 
[57461] SET_BUY_AMOUNT,JZJCffUI5S,IFN,37.33 
[57462] SET_BUY_TRIGGER,uWX4TGhR6O,QUT,114.13 
[57463] SET_SELL_TRIGGER,7UUhSRHInh,LPS,7.68 
[57464] DISPLAY_SUMMARY,nV1jqGc3b6 
[57465] SET_SELL_AMOUNT,hBEPbg75Qp,OEY,536.58 
[57466] BUY,mR1GL8In4q,TCP,116.45 
[57467] SET_BUY_AMOUNT,HPxIuj9S6A,RNK,95.69 
[57468] CANCEL_SET_BUY,F3iruDCI8F,QOD 
[57469] SET_SELL_TRIGGER,k5RWRveCOY,DFE,372.84 
[57470] SET_SELL_TRIGGER,n9qniWnHrs,EBS,130.06 
[57471] CANCEL_SET_SELL,hPnf9OsmbW,PNP 
[57472] COMMIT_SELL,xRR8b3q6bp 
[57473] SET_SELL_TRIGGER,unNg5XYq8A,XQC,256.63 
[57474] COMMIT_BUY,F0mQHf8fev 
[57475] SET_SELL_TRIGGER,2xvOQRaMMK,QAX,350.73 
[57476] QUOTE,qE6dGnwk51,OZW 
[57477] CANCEL_BUY,qE6dGnwk51 
[57478] QUOTE,pIkIgs3Y8E,PXF 
[57479] COMMIT_BUY,kMcjEkmbDd 
[57480] QUOTE,pIkIgs3Y8E,GLJ 
[57481] ADD,UUcfl1X3U9,46870.79 
[57482] BUY,kMcjEkmbDd,GQV,463.61 
[57483] DISPLAY_SUMMARY,LX1FeVjg6k 
[57484] SET_BUY_TRIGGER,aMMzTGXVGg,CVK,134.01 
[57485] SET_BUY_TRIGGER,HPxIuj9S6A,HZP,62.33 
[57486] DISPLAY_SUMMARY,unNg5XYq8A 
[57487] SELL,28VL4WCD6l,SUS,424.56 
[57488] CANCEL_SET_SELL,lLn3fa1FIk,BYA 
[57489] SET_BUY_TRIGGER,JZJCffUI5S,JGY,11.10 
[57490] QUOTE,9RCeWXbzj9,NLP 
[57491] BUY,v2iT5RAbiA,MOF,390.13 
[57492] ADD,g3Xh0OB6vf,71855.79 
[57493] CANCEL_SET_SELL,xETyPXWhj9,JZJ 
[57494] CANCEL_SET_SELL,mR1GL8In4q,BLC 
[57495] DISPLAY_SUMMARY,HPxIuj9S6A 
[57496] QUOTE,ZVyQqBS4Yw,SYM 
[57497] COMMIT_BUY,n4E566ZogW 
[57498] COMMIT_BUY,kMcjEkmbDd 
[57499] CANCEL_SET_BUY,qE6dGnwk51,IKK 
[57500] DISPLAY_SUMMARY,ugupCCzmJf 
[57501] SET_BUY_TRIGGER,k5RWRveCOY,DBT,167.16 
[57502] SELL,oAd3QaqYgz,QAX,152.89 
[57503] QUOTE,7Jo2brvLiF,SSF 
[57504] ADD,ZVyQqBS4Yw,52602.55 
[57505] CANCEL_SET_SELL,FjKEXA3hdZ,XPX 
[57506] DISPLAY_SUMMARY,AnPcs8yTdQ 
[57507] ADD,ooUBBK63Qe,53667.74 
[57508] CANCEL_SET_SELL,XwKSBoZ6lO,ZNL 
[57509] SET_SELL_TRIGGER,eGGeSBtfEQ,FNY,41.62 
[57510] BUY,dALWhJa374,EAK,744.11 
[57511] SET_BUY_TRIGGER,D6zA2CRl22,KAS,195.03 
[57512] SET_SELL_AMOUNT,e7Zw0RBCl6,QJZ,619.96 
[57513] DISPLAY_SUMMARY,aMMzTGXVGg 
[57514] COMMIT_SELL,oAd3QaqYgz 
[57515] SET_BUY_TRIGGER,1uGQw5a691,PJJ,0.88 
[57516] SET_BUY_TRIGGER,LAu7ZpcWWv,RFC,333.99 
[57517] SELL,KnTBc3qwcr,KBN,293.95 
[57518] SET_SELL_TRIGGER,7UUhSRHInh,GDO,28.84 
[57519] SET_SELL_AMOUNT,LtO7mQU2OX,JQO,347.05 
[57520] ADD,xka9Jdr7ac,76710.46 
[57521] SELL,mR1GL8In4q,YJK,514.32 
[57522] DISPLAY_SUMMARY,xETyPXWhj9 
[57523] BUY,xka9Jdr7ac,PXS,128.09 
[57524] SET_BUY_AMOUNT,1uGQw5a691,BCQ,258.71 
[57525] QUOTE,REUXfFUthD,WQC 
[57526] DISPLAY_SUMMARY,NcGvD9d4mj 
[57527] BUY,lLn3fa1FIk,YIU,41.81 
[57528] QUOTE,x8GMbOCXJX,JMX 
[57529] QUOTE,KnTBc3qwcr,IJO 
[57530] COMMIT_SELL,v2iT5RAbiA 
[57531] SET_BUY_TRIGGER,mR1GL8In4q,GXT,71.56 
[57532] BUY,2xvOQRaMMK,XOP,696.87 
[57533] SET_BUY_TRIGGER,1uGQw5a691,LJM,209.24 
[57534] COMMIT_SELL,wYQUhjq8PE 
[57535] DISPLAY_SUMMARY,mR1GL8In4q 
[57536] BUY,HGsodwsfKO,AXK,321.31 
[57537] QUOTE,g3Xh0OB6vf,EDV 
[57538] ADD,NmnabmB6tO,77751.92 
[57539] DISPLAY_SUMMARY,p876fU7BEx 
[57540] SELL,XwKSBoZ6lO,FDI,446.49 
[57541] SELL,NcGvD9d4mj,UBJ,331.60 
[57542] BUY,k5RWRveCOY,JUG,265.12 
[57543] SET_SELL_TRIGGER,F0mQHf8fev,JSM,120.82 
[57544] QUOTE,xKgBJKhIlx,JPD 
[57545] COMMIT_BUY,k5RWRveCOY 
[57546] COMMIT_BUY,mR1GL8In4q 
[57547] SET_BUY_TRIGGER,WUsol6wtDm,ZER,117.98 
[57548] QUOTE,HBbyhPrKJi,KEO 
[57549] BUY,9RCeWXbzj9,RQT,666.32 
[57550] ADD,xKgBJKhIlx,60958.55 
[57551] QUOTE,UUcfl1X3U9,AAC 
[57552] ADD,unNg5XYq8A,62335.23 
[57553] CANCEL_SET_SELL,wYQUhjq8PE,ISQ 
[57554] COMMIT_BUY,vmBnGlfW5S 
[57555] ADD,AnPcs8yTdQ,66450.36 
[57556] BUY,g3Xh0OB6vf,JFF,484.42 
[57557] SELL,qE6dGnwk51,DFE,65.16 
[57558] QUOTE,0oVAF91nA3,IFQ 
[57559] COMMIT_BUY,xETyPXWhj9 
[57560] BUY,Rq5xFLYt6l,RQF,469.01 
[57561] SET_BUY_TRIGGER,U4jQmk30QS,IGT,195.10 
[57562] QUOTE,NmnabmB6tO,ZJQ 
[57563] SELL,ooUBBK63Qe,JCQ,602.77 
[57564] QUOTE,CetaglZj6n,DRO 
[57565] ADD,akVcdarOA3,71663.98 
[57566] ADD,p876fU7BEx,88156.53 
[57567] CANCEL_SET_SELL,4vBuSX8YYJ,QUT 
[57568] COMMIT_BUY,HGsodwsfKO 
[57569] COMMIT_SELL,LX1FeVjg6k 
[57570] SELL,n9qniWnHrs,QGE,506.98 
[57571] ADD,x8GMbOCXJX,63285.90 
[57572] ADD,WUsol6wtDm,31709.09 
[57573] SET_BUY_AMOUNT,NcGvD9d4mj,SUS,246.88 
[57574] QUOTE,ugupCCzmJf,MOF 
[57575] COMMIT_SELL,XeYo2ezKey 
[57576] ADD,wYQUhjq8PE,49542.08 
[57577] SET_SELL_AMOUNT,xETyPXWhj9,ZTI,550.74 
[57578] CANCEL_SET_BUY,FOsYiQU5Qk,SVV 
[57579] ADD,TRCadzjH8F,47913.80 
[57580] BUY,6bw5h7oAdg,GCW,24.44 
[57581] SET_SELL_AMOUNT,aMMzTGXVGg,DFE,123.45 
[57582] ADD,HGsodwsfKO,46010.86 
[57583] SET_BUY_TRIGGER,2GizxWZj6J,SFR,152.60 
[57584] CANCEL_SET_BUY,nV1jqGc3b6,IHA 
[57585] COMMIT_BUY,6bw5h7oAdg 
[57586] BUY,3mEsf51UBo,ZGN,717.48 
[57587] ADD,kMcjEkmbDd,59948.15 
[57588] SELL,hQaIWhluU7,ZTI,283.08 
[57589] BUY,HGsodwsfKO,UJC,254.23 
[57590] QUOTE,ugupCCzmJf,PHJ 
[57591] DISPLAY_SUMMARY,xRR8b3q6bp 
[57592] SET_BUY_TRIGGER,k5RWRveCOY,QXW,134.45 
[57593] ADD,FjKEXA3hdZ,83360.13 
[57594] SET_SELL_TRIGGER,e7Zw0RBCl6,QJZ,162.12 
[57595] COMMIT_SELL,HBb0dWvkmH 
[57596] COMMIT_BUY,HGsodwsfKO 
[57597] BUY,hrINHOrbWw,SPL,212.94 
[57598] QUOTE,e7Zw0RBCl6,RXO 
[57599] SET_BUY_TRIGGER,AnPcs8yTdQ,IAV,24.24 
[57600] DISPLAY_SUMMARY,NcGvD9d4mj 
[57601] SET_SELL_AMOUNT,TViJpUe5JR,VTY,566.93 
[57602] SELL,ZVyQqBS4Yw,JQO,694.40 
[57603] BUY,unNg5XYq8A,TTV,458.30 
[57604] SET_BUY_AMOUNT,9Z89FNPK7B,FDI,252.28 
[57605] COMMIT_BUY,YBTGw9v3Cl 
[57606] ADD,etWfSg2zBt,59086.31 
[57607] QUOTE,JZJCffUI5S,YPL 
[57608] SET_SELL_TRIGGER,aMMzTGXVGg,DFE,29.02 
[57609] CANCEL_SELL,ZVyQqBS4Yw 
[57610] ADD,v2iT5RAbiA,65251.30 
[57611] SET_BUY_TRIGGER,HBbyhPrKJi,XLV,115.35 
[57612] QUOTE,8pCSyzEP5L,RRE 
[57613] SET_BUY_TRIGGER,e6JAmPjBmb,YVS,136.73 
[57614] BUY,AwEXQhdKGW,GNY,109.91 
[57615] DISPLAY_SUMMARY,kcrL7pVjFP 
[57616] BUY,x8GMbOCXJX,JPD,237.00 
[57617] SELL,8IA1PUK3hd,AVX,553.20 
[57618] QUOTE,kcrL7pVjFP,KEV 
[57619] SET_SELL_AMOUNT,aMMzTGXVGg,RUN,166.50 
[57620] SET_BUY_AMOUNT,eGGeSBtfEQ,OEY,333.06 
[57621] ADD,xRR8b3q6bp,59810.86 
[57622] BUY,pIkIgs3Y8E,KRX,30.16 
[57623] SET_SELL_TRIGGER,vRUafgIjuV,RUN,97.64 
[57624] COMMIT_BUY,hrINHOrbWw 
[57625] BUY,BOvGL2MRxg,RQF,525.23 
[57626] BUY,v2iT5RAbiA,RDN,404.72 
[57627] SET_BUY_AMOUNT,v2iT5RAbiA,UBJ,695.98 
[57628] SET_SELL_TRIGGER,k5RWRveCOY,KNM,184.10 
[57629] SET_BUY_AMOUNT,9RCeWXbzj9,QAX,54.79 
[57630] BUY,TRCadzjH8F,HSH,589.36 
[57631] BUY,xKgBJKhIlx,PPW,440.32 
[57632] SET_BUY_AMOUNT,xKgBJKhIlx,AVX,505.87 
[57633] SELL,uWX4TGhR6O,SSF,696.49 
[57634] COMMIT_BUY,2xvOQRaMMK 
[57635] DISPLAY_SUMMARY,xETyPXWhj9 
[57636] COMMIT_SELL,n9qniWnHrs 
[57637] BUY,1uGQw5a691,CTS,16.79 
[57638] SET_SELL_TRIGGER,aMMzTGXVGg,RUN,156.28 
[57639] COMMIT_SELL,Z5Z6RJO7ho 
[57640] SET_SELL_AMOUNT,aMMzTGXVGg,JCQ,547.01 
[57641] SET_BUY_TRIGGER,9Z89FNPK7B,SWD,252.06 
[57642] DISPLAY_SUMMARY,4vBuSX8YYJ 
[57643] SET_SELL_TRIGGER,aMMzTGXVGg,JCQ,53.31 
[57644] SET_BUY_AMOUNT,HBbyhPrKJi,RUN,155.49 
[57645] QUOTE,ooUBBK63Qe,FRB 
[57646] SET_SELL_TRIGGER,hBEPbg75Qp,OEY,454.01 
